time,ext,iaga,dBn,dBe,dBd
2024-05-10 15:50:00,60.0,T43,-2.924421,19.741158,-17.130518
2024-05-10 15:51:00,60.0,T43,-2.166277,36.259609,-18.397404
2024-05-10 15:52:00,60.0,T43,-1.280792,44.559105,-18.639683
2024-05-10 15:53:00,60.0,T43,2.557734,43.549339,-18.540768
2024-05-10 15:54:00,60.0,T43,7.260456,29.630611,-17.881905
2024-05-10 15:55:00,60.0,T43,10.809654,22.702534,-17.592712
2024-05-10 15:56:00,60.0,T43,13.718039,24.474648,-16.794184
2024-05-10 15:57:00,60.0,T43,11.436321,33.041267,-16.290983
2024-05-10 15:58:00,60.0,T43,12.739912,36.106506,-16.168968
2024-05-10 15:59:00,60.0,T43,15.947031,31.164249,-16.150723
2024-05-10 16:00:00,60.0,T43,17.497099,27.068027,-15.552454
2024-05-10 16:01:00,60.0,T43,24.133142,19.477612,-15.675732
2024-05-10 16:02:00,60.0,T43,32.049683,15.214569,-15.63816
2024-05-10 16:03:00,60.0,T43,34.877651,14.60001,-14.591866
2024-05-10 16:04:00,60.0,T43,33.094181,18.08728,-13.509777
2024-05-10 16:05:00,60.0,T43,31.567495,19.180763,-13.262781
2024-05-10 16:06:00,60.0,T43,30.43519,19.739624,-13.339109
2024-05-10 16:07:00,60.0,T43,36.440552,14.246262,-14.031462
2024-05-10 16:08:00,60.0,T43,33.903389,17.749264,-13.02771
2024-05-10 16:09:00,60.0,T43,36.532791,11.327446,-13.354944
2024-05-10 16:10:00,60.0,T43,41.641163,7.55481,-13.712332
2024-05-10 16:11:00,60.0,T43,43.773575,8.009998,-13.10735
2024-05-10 16:12:00,60.0,T43,41.736107,11.162769,-12.478002
2024-05-10 16:13:00,60.0,T43,40.110924,13.789364,-12.214592
2024-05-10 16:14:00,60.0,T43,40.109848,13.230686,-12.160822
2024-05-10 16:15:00,60.0,T43,40.391235,8.99894,-12.12878
2024-05-10 16:16:00,60.0,T43,39.512119,5.946911,-11.990211
2024-05-10 16:17:00,60.0,T43,38.423828,6.230343,-12.057224
2024-05-10 16:18:00,60.0,T43,40.218292,3.12851,-12.348872
2024-05-10 16:19:00,60.0,T43,38.584404,3.427856,-12.076875
2024-05-10 16:20:00,60.0,T43,40.565281,2.613419,-12.365776
2024-05-10 16:21:00,60.0,T43,40.869808,3.723957,-12.113962
2024-05-10 16:22:00,60.0,T43,40.968796,6.824543,-11.891174
2024-05-10 16:23:00,60.0,T43,35.392021,12.19701,-11.225725
2024-05-10 16:24:00,60.0,T43,39.489204,7.354263,-12.023317
2024-05-10 16:25:00,60.0,T43,40.907711,8.031342,-11.94015
2024-05-10 16:26:00,60.0,T43,43.797989,5.302681,-11.627884
2024-05-10 16:27:00,60.0,T43,40.45261,8.478687,-10.896299
2024-05-10 16:28:00,60.0,T43,38.680233,11.827969,-10.838491
2024-05-10 16:29:00,60.0,T43,39.09795,10.481426,-10.864566
2024-05-10 16:30:00,60.0,T43,40.996758,7.077942,-10.895594
2024-05-10 16:31:00,60.0,T43,42.002411,2.277279,-10.64784
2024-05-10 16:32:00,60.0,T43,38.277962,5.11623,-10.06591
2024-05-10 16:33:00,60.0,T43,34.537254,9.794167,-9.895105
2024-05-10 16:34:00,60.0,T43,27.510496,17.292961,-10.01996
2024-05-10 16:35:00,60.0,T43,22.587311,24.13871,-10.72096
2024-05-10 16:36:00,60.0,T43,21.476578,28.234612,-11.404409
2024-05-10 16:37:00,60.0,T43,25.189991,27.407101,-12.17487
2024-05-10 16:38:00,60.0,T43,31.38549,22.700039,-12.210077
2024-05-10 16:39:00,60.0,T43,34.334534,18.507,-11.587275
2024-05-10 16:40:00,60.0,T43,34.423744,20.43906,-10.486203
2024-05-10 16:41:00,60.0,T43,31.703842,22.551052,-9.812106
2024-05-10 16:42:00,60.0,T43,31.606258,23.055225,-9.918703
2024-05-10 16:43:00,60.0,T43,29.110443,26.339935,-9.597979
2024-05-10 16:44:00,60.0,T43,25.087379,29.898037,-9.471081
2024-05-10 16:45:00,60.0,T43,22.186382,34.043911,-9.658008
2024-05-10 16:46:00,60.0,T43,24.006943,36.955379,-10.262657
2024-05-10 16:47:00,60.0,T43,26.675922,37.859543,-10.260517
2024-05-10 16:48:00,60.0,T43,27.050587,33.358009,-9.662153
2024-05-10 16:49:00,60.0,T43,29.078186,27.595852,-9.591112
2024-05-10 16:50:00,60.0,T43,34.836712,20.493839,-9.706415
2024-05-10 16:51:00,60.0,T43,39.152222,16.516258,-9.336242
2024-05-10 16:52:00,60.0,T43,44.962948,12.681255,-8.819217
2024-05-10 16:53:00,60.0,T43,46.718277,9.819317,-7.904022
2024-05-10 16:54:00,60.0,T43,45.573254,2.617409,-7.17539
2024-05-10 16:55:00,60.0,T43,30.957462,11.469643,-5.934157
2024-05-10 16:56:00,60.0,T43,19.022873,21.606525,-6.538429
2024-05-10 16:57:00,60.0,T43,18.156605,27.696674,-8.846368
2024-05-10 16:58:00,60.0,T43,20.854416,34.909344,-9.95437
2024-05-10 16:59:00,60.0,T43,28.740227,29.64743,-10.424992
2024-05-10 17:00:00,60.0,T43,37.348667,20.629711,-9.924891
2024-05-10 17:01:00,60.0,T43,39.023754,14.392899,-8.350641
2024-05-10 17:02:00,60.0,T43,34.532192,10.350342,-7.270586
2024-05-10 17:03:00,60.0,T43,41.789513,6.346592,-7.921646
2024-05-10 17:04:00,60.0,T43,39.709751,10.228939,-7.091936
2024-05-10 17:05:00,60.0,T43,37.983852,8.553169,-6.791842
2024-05-10 17:06:00,60.0,T43,109.806152,-39.230858,-13.779265
2024-05-10 17:07:00,60.0,T43,-54.133499,68.325447,10.560525
2024-05-10 17:08:00,60.0,T43,-134.885727,163.631699,6.615008
2024-05-10 17:09:00,60.0,T43,-104.340721,151.975906,-13.407354
2024-05-10 17:10:00,60.0,T43,-32.408649,138.3237,-20.15509
2024-05-10 17:11:00,60.0,T43,-29.578468,121.680054,-13.98996
2024-05-10 17:12:00,60.0,T43,-31.515835,94.330353,-10.606661
2024-05-10 17:13:00,60.0,T43,-36.543671,90.656685,-8.007594
2024-05-10 17:14:00,60.0,T43,-30.18639,85.330284,-9.478005
2024-05-10 17:15:00,60.0,T43,18.594307,43.309879,-13.289763
2024-05-10 17:16:00,60.0,T43,-73.750854,69.987663,-0.266575
2024-05-10 17:17:00,60.0,T43,-33.09956,56.801155,-12.715474
2024-05-10 17:18:00,60.0,T43,-27.837425,28.752483,-11.400495
2024-05-10 17:19:00,60.0,T43,-59.691307,38.856506,-9.364143
2024-05-10 17:20:00,60.0,T43,-96.878815,41.71714,-11.979836
2024-05-10 17:21:00,60.0,T43,-173.50444,72.963852,-12.84922
2024-05-10 17:22:00,60.0,T43,-260.969513,139.879761,-17.357414
2024-05-10 17:23:00,60.0,T43,-339.437195,208.667816,-26.953201
2024-05-10 17:24:00,60.0,T43,-346.342041,255.139282,-41.146698
2024-05-10 17:25:00,60.0,T43,-341.154724,260.04483,-47.895027
2024-05-10 17:26:00,60.0,T43,-363.677063,268.7901,-49.188778
2024-05-10 17:27:00,60.0,T43,-386.727325,284.257538,-49.41032
2024-05-10 17:28:00,60.0,T43,-398.896393,293.518097,-51.046333
2024-05-10 17:29:00,60.0,T43,-407.885376,302.445862,-51.596909
2024-05-10 17:30:00,60.0,T43,-396.363403,273.635101,-53.380783
2024-05-10 17:31:00,60.0,T43,-381.010681,274.210388,-52.087959
2024-05-10 17:32:00,60.0,T43,-371.304657,290.022247,-49.676929
2024-05-10 17:33:00,60.0,T43,-398.538574,285.42276,-42.470299
2024-05-10 17:34:00,60.0,T43,-422.169128,292.31543,-40.373894
2024-05-10 17:35:00,60.0,T43,-456.562744,326.564697,-38.038452
2024-05-10 17:36:00,60.0,T43,-470.293701,337.1745,-37.917191
2024-05-10 17:37:00,60.0,T43,-472.775391,342.894592,-37.8405
2024-05-10 17:38:00,60.0,T43,-510.483856,397.990143,-32.362713
2024-05-10 17:39:00,60.0,T43,-512.209473,436.814331,-33.822033
2024-05-10 17:40:00,60.0,T43,-537.049927,457.329163,-29.796675
2024-05-10 17:41:00,60.0,T43,-489.446991,468.860748,-33.745911
2024-05-10 17:42:00,60.0,T43,-397.872742,431.574799,-31.177248
2024-05-10 17:43:00,60.0,T43,-353.942719,388.47998,-24.663239
2024-05-10 17:44:00,60.0,T43,-324.514435,345.548035,-8.125849
2024-05-10 17:45:00,60.0,T43,-363.013184,391.252838,-5.926695
2024-05-10 17:46:00,60.0,T43,-363.274048,380.531677,-1.670939
2024-05-10 17:47:00,60.0,T43,-286.468384,339.305542,-10.25926
2024-05-10 17:48:00,60.0,T43,-257.193481,321.875671,-5.166573
2024-05-10 17:49:00,60.0,T43,-224.626038,324.040344,0.23246
2024-05-10 17:50:00,60.0,T43,-229.624039,335.897583,6.736366
2024-05-10 17:51:00,60.0,T43,-274.839874,383.551025,12.157557
2024-05-10 17:52:00,60.0,T43,-271.742035,387.632599,10.138262
2024-05-10 17:53:00,60.0,T43,-322.225739,371.658051,15.421082
2024-05-10 17:54:00,60.0,T43,-318.508453,327.910767,8.988106
2024-05-10 17:55:00,60.0,T43,-316.080444,294.591309,9.983772
2024-05-10 17:56:00,60.0,T43,-342.71701,304.530334,9.843222
2024-05-10 17:57:00,60.0,T43,-334.984924,317.158356,7.566983
2024-05-10 17:58:00,60.0,T43,-325.716095,318.358124,7.101933
2024-05-10 17:59:00,60.0,T43,-282.803131,307.489594,3.40501
2024-05-10 18:00:00,60.0,T43,-268.278259,308.621399,5.77846
2024-05-10 18:01:00,60.0,T43,-257.084747,375.601776,8.49309
2024-05-10 18:02:00,60.0,T43,-274.133423,431.214722,12.246296
2024-05-10 18:03:00,60.0,T43,-272.328674,478.646912,9.305212
2024-05-10 18:04:00,60.0,T43,-297.205597,480.256348,10.912841
2024-05-10 18:05:00,60.0,T43,-297.361816,479.900177,6.984762
2024-05-10 18:06:00,60.0,T43,-292.680206,430.766022,2.431109
2024-05-10 18:07:00,60.0,T43,-280.895264,416.892883,2.073668
2024-05-10 18:08:00,60.0,T43,-312.930542,409.33606,3.120355
2024-05-10 18:09:00,60.0,T43,-313.360413,384.273895,-0.919537
2024-05-10 18:10:00,60.0,T43,-319.025696,417.516571,-2.27259
2024-05-10 18:11:00,60.0,T43,-322.543884,459.215118,-3.327995
2024-05-10 18:12:00,60.0,T43,-360.991547,488.102325,1.044114
2024-05-10 18:13:00,60.0,T43,-355.767395,467.987183,-0.369661
2024-05-10 18:14:00,60.0,T43,-355.344086,435.438477,0.461907
2024-05-10 18:15:00,60.0,T43,-369.048248,416.167236,5.57146
2024-05-10 18:16:00,60.0,T43,-342.246246,367.89447,1.526451
2024-05-10 18:17:00,60.0,T43,-334.592743,340.491943,8.925939
2024-05-10 18:18:00,60.0,T43,-333.541443,327.390167,11.411901
2024-05-10 18:19:00,60.0,T43,-332.478973,306.200073,14.915148
2024-05-10 18:20:00,60.0,T43,-302.259399,318.823395,11.05423
2024-05-10 18:21:00,60.0,T43,-275.791901,320.509888,9.114284
2024-05-10 18:22:00,60.0,T43,-242.133713,320.561371,3.440359
