year, month, day, hour, minute, second, I total up North [MA], I total down North [MA], I day up North [MA], I day down North [MA], I night up North [MA], I night down North [MA], I total up South [MA], I total down South [MA], I day up South [MA], I day down South [MA], I night up South [MA], I night down South [MA]
2024 05 11 03 26 00    17.07  -16.15    9.91  -11.29    7.15   -4.86   13.79  -13.30    7.23   -8.04    6.56   -5.26
2024 05 11 03 28 00    17.05  -16.35   10.20  -11.50    6.86   -4.85   13.60  -13.37    6.72   -7.58    6.88   -5.79
2024 05 11 03 30 00    17.01  -16.18   10.09  -11.34    6.92   -4.84   15.31  -14.94    8.18   -8.74    7.13   -6.20
2024 05 11 03 32 00    17.74  -17.12   10.39  -11.67    7.35   -5.46   15.76  -15.25    8.28   -8.93    7.49   -6.32
2024 05 11 03 34 00    18.32  -17.73   11.09  -12.35    7.23   -5.38   15.62  -15.28    8.16   -8.98    7.46   -6.30
2024 05 11 03 36 00    19.21  -18.70   11.71  -12.67    7.50   -6.03   13.75  -13.92    7.10   -8.28    6.64   -5.64
2024 05 11 03 38 00    20.08  -19.67   12.68  -13.73    7.40   -5.94   14.49  -14.17    7.41   -8.53    7.08   -5.65
2024 05 11 03 40 00    19.70  -19.37   12.81  -13.88    6.89   -5.49   13.40  -12.79    6.69   -7.69    6.71   -5.10
2024 05 11 03 42 00    20.11  -19.55   13.14  -14.16    6.97   -5.39   13.19  -12.95    6.39   -7.76    6.81   -5.19
2024 05 11 03 44 00    21.00  -20.33   13.32  -14.47    7.68   -5.86   14.00  -13.73    7.07   -8.50    6.93   -5.23
2024 05 11 03 46 00    20.00  -19.55   12.54  -13.72    7.46   -5.84   14.33  -14.37    7.35   -8.97    6.99   -5.40
2024 05 11 03 48 00    20.16  -19.55   11.83  -12.78    8.34   -6.76   14.37  -14.13    7.30   -8.90    7.07   -5.24
2024 05 11 03 50 00    20.76  -20.69   11.72  -13.03    9.05   -7.66   15.09  -15.25    7.67   -9.34    7.41   -5.91
